25;78e108ea04c89d2b5f8d38701b8fde81;19.07.2016;15:54:42;1;TUM-09;Deutschland;Bayern;Donau-Ries, Kreis, Sitz: Donauwîrth;95;
2987;f9d9c59172259bee56bafafcda914df3;19.07.2016;15:54:47;1;TUM-01;Deutschland;Baden-WÅrttemberg;Biberach/Ri·, Kreis;84;
2988;fae1fab16ccd7b013692f4d52aad2ca6;19.07.2016;15:54:52;1;TUM-01;Deutschland;Bayern;Freising, Kreis;76;
2989;696ba8c52e841578902c3ffb8470f360;19.07.2016;15:54:53;1;TUM-01;Deutschland;Bayern;Freising, Kreis;87;
2990;db0309966311c1eeb611984fcf0291dc;19.07.2016;15:54:55;1;TUM-01;Deutschland;Bayern;GÅnzburg, Kreis;83;
26;265323caa2d50e7b5744f145d8e9bfd6;19.07.2016;15:55:01;1;TUM-09;Deutschland;Bayern;Rosenheim, Stadt und Kreis;93;
27;08c704bee91b25fd5acffc32ed007b34;19.07.2016;15:55:02;1;TUM-09;Deutschland;Niedersachsen;Harburg, Kreis, Sitz: Winsen/Luhe;91;
2991;897604a92a0013ca0fe6b6d10fb5c781;19.07.2016;15:55:08;1;TUM-01;Deutschland;Baden-WÅrttemberg;Reutlingen, Kreis;78;
2992;be74af682e128a00d36c2e668cf7da3b;19.07.2016;15:55:09;1;TUM-01;Deutschland;Baden-WÅrttemberg;Reutlingen, Kreis;84;
28;1cf5ecaab0fa95a4cd1e287c2a6a242a;19.07.2016;15:55:10;1;TUM-09;Deutschland;Baden-WÅrttemberg;Ulm, Stadt und Alb-Donau-Kreis, Kreis, Sitz: Ulm;94;
2993;1caebc170c7d51bf2e8d7796a31212b6;19.07.2016;15:55:10;1;TUM-01;Deutschland;Saarland;Chemnitz, Stadt;94;
29;145cfa3cc748e536f22e23f128a77b07;19.07.2016;15:55:12;1;TUM-09;Deutschland;Bayern;Kitzingen, Kreis;88;
2994;feff8bf3ee92caa93c4b7e13f85dbc01;19.07.2016;15:55:13;1;TUM-01;Deutschland;Bayern;Rosenheim, Stadt und Kreis;74;
2995;1163adda7cb9fcedbbff6b04b095d9f6;19.07.2016;15:55:14;1;TUM-01;Deutschland;Saarland;Bautzen, Kreis;79;
2996;30c55fc8e7060744ed9da5519c25284c;19.07.2016;15:55:15;1;TUM-01;Deutschland;Schleswig-Holstein;Herzogtum Lauenburg, Kreis, Sitz: Ratzeburg;85;
30;db1ae741a02e69475025ae9cc424f7eb;19.07.2016;15:55:16;1;TUM-09;-;;;84;
2997;f67a4b81d1175c6b9a7c06bd9fac39ab;19.07.2016;15:55:16;1;TUM-01;-;;;80;
31;8b54aa72c7d310f281441d7e64937801;19.07.2016;15:55:26;1;TUM-09;Deutschland;Baden-WÅrttemberg;Bîblingen, Kreis;92;
